YEAR,n_fires,total_area_ha,mean_area_ha
2021,1823,4082003.1958823213,2239.1679626342957
2022,1360,1462145.115043365,1075.1067022377683
2023,2200,16547995.030596184,7521.815922998265
2024,1978,5185153.425181527,2621.4122473111865
